Layer Name,EPSG,x_min,y_min,x_max,y_max
govmap:layer_roadnumber_tma,3857,34.270476615918,29.49209768369,35.854241735194,33.2824726029262
govmap:layer_roundabout,3857,34.2742086359416,29.4921206827226,35.8388597656378,33.2819825005576
govmap:layer_route,3857,33.8319308013531,31.4736418008211,34.9755043959597,33.064237297196
govmap:layer_route_eng,3857,33.8319308013531,31.4736418008212,34.9755043959597,33.064237297196
govmap:layer_rtg_ecological_corridors,3857,34.3050334606401,29.4922280197166,35.8931633930633,33.3355432690976
govmap:layer_ry_2150_4_5,3857,34.2781151248248,30.2517277247704,35.8887314078054,33.3304600484197
govmap:layer_ry_2150_8_5,3857,34.2905219215721,30.2329957754924,35.8894570476876,33.3269860729041
govmap:layer_ry_5180_4_5,3857,34.2804621934099,30.2474048213632,35.8872621606275,33.3304583764049
govmap:layer_ry_5180_8_5,3857,34.2755722321525,30.2521450762363,35.8820241329455,33.3233234300657
govmap:layer_ry_7100_4_5,3857,34.2781151248248,30.2517277247704,35.8887314078054,33.3304600484197
govmap:layer_ry_7100_8_5,3857,34.3016203375412,30.2869968411813,35.8855612142914,33.3269789270628
govmap:layer_scars,3857,34.9075750542474,29.8630706407376,35.0121051326401,30.7514271121079
govmap:layer_scars_eng,3857,34.9075750542474,29.8630706407376,35.0121051326401,30.7514271121079
govmap:layer_school,3857,33.1680142498661,26.7404263622844,36.9603651378097,36.0843772553862
govmap:layer_sea_level,3857,34.0514114459247,26.9384751382054,35.5130448781872,35.4826612629752
govmap:layer_sea_level_scenario,3857,34.4935790163158,31.5994439884359,35.1038584173359,33.0609683229816
govmap:layer_sea_level_scenario_climate,3857,34.4935790163167,31.5994769386692,35.0932941425227,33.0250564277546
govmap:layer_setl_area_name,3857,34.2808633348681,29.4944990889432,35.842099803406,33.2868136399922
govmap:layer_setl_areas_solar541,3857,34.280863334589,29.4921042734611,35.8420998031223,33.286813640048
govmap:layer_sett_potential_pot_ind,3857,34.2845017002936,31.1893860223321,34.6458416293543,31.6223546718567
govmap:layer_settl_territories_wb,3857,34.8842712818958,31.3530133845472,35.5581125016798,32.5170016334223
govmap:layer_settlementsdebtsowners,3857,34.2674762249662,29.4877578831595,35.8953835619697,33.335148102238
govmap:layer_sex_age_religion,3857,34.2669324104309,29.4879001526033,35.895331864711,33.334072176381
govmap:layer_sfirot,3857,34.2934655609268,29.5037885372545,35.7824922909774,33.2760505521399
govmap:layer_sheet100,3857,34.0525069611652,29.3261993336624,35.9625753815825,33.3857108197009
govmap:layer_sheet25,3857,34.2663574758335,29.4868699228541,35.9291022826779,33.3657030145245
govmap:layer_sheet50,3857,34.2040285029829,29.4077617491711,35.9059656893785,33.4039589963128
govmap:layer_sheet50_eng,3857,34.2040285029829,29.4077617491711,35.9059616077159,33.4033744085166
govmap:layer_sheet_k,3857,34.2943497229227,29.5433944446092,35.8381329572866,33.2804483222008
govmap:layer_sherutimkehilatyim_bikureybait,3857,34.6184723304026,30.6089422252046,35.2136048439831,31.3886502427284
govmap:layer_sherutimkehilatyim_hasaot,3857,34.755694206441,31.2508355001026,35.2136048439831,31.3886502427284
govmap:layer_sherutimkehilatyim_hoksiud,3857,34.7731057163371,30.6089422252046,35.2128392835848,31.2594191731703
govmap:layer_sherutimkehilatyim_negishut,3857,78422343222223,31.2680261275351,78422343222223,31.2680261275351
govmap:layer_sherutimkehilatyim_peilutheb,3857,34.6184723304026,30.6102020260963,35.2169992021529,31.6026770954831
govmap:layer_sherutimkehilatyim_tipulbait,3857,34.7731057163371,30.6089422252046,35.2128392835848,31.2608102451587
govmap:layer_sherutleumi,3857,33.7966470960967,29.7632370504449,36.3348999717426,34.6925649607254
govmap:layer_shil,3857,33.8540541990667,26.8034365267681,36.4864882943632,35.9630194637711
govmap:layer_shirut_mivhan_mevugarim,3857,33.8585001261721,23.2656125941584,36.3263077440281,37.4766105011622
govmap:layer_shooting_range,3857,33.8834586191975,27.0349445700206,36.4748866687867,35.5887082099633
govmap:layer_shumotborders,3857,34.2697846300235,29.4910346704789,35.8653510714793,33.3352376632435
govmap:layer_shumotborders2017,3857,34.7484730297773,31.5788886478307,34.7989888813549,31.6289562036121
govmap:layer_shumotdistricts,3857,34.2674762270738,29.4877578822597,35.8953835619697,33.335148102238
govmap:layer_shumotpoints,3857,34.7498591218838,31.5792605174954,34.7984094346852,31.6275274237358
govmap:layer_shumotpoints2017,3857,34.2208870558105,29.5021515171116,35.8071426071545,33.2488600404199
govmap:layer_shumotpointsselection,3857,34.7498591218838,31.5792605174954,34.7984094346852,31.6275274237358
govmap:layer_shumotpolygon2017,3857,34.2208345491844,27.4310430333341,40.2575081925815,33.2490601499424
govmap:layer_shumotpolygonsdisagreements,3857,34.3596419065478,28.0180987881083,39.4079317181708,33.2376098597456
govmap:layer_shvil_israel,3857,34.7388795079635,29.5099323857323,35.6573228244435,33.2506687459785
govmap:layer_shvilim_allr,3857,34.3645408979967,29.5453766686517,35.7890616315249,33.2898374949613
govmap:layer_siluk_psolet,3857,33.5176493672817,27.2688358872362,36.784609859596,35.5066861062262
govmap:layer_sites_age_group_0_17_prod,3857,34.2675352540247,29.4906679573183,35.8953392849175,33.3350469052319
govmap:layer_sites_age_group_18_64_prod,3857,34.2675352540247,29.4906679573183,35.8953392849175,33.3350469052319
govmap:layer_sites_age_group_65_90_prod,3857,34.2675352540247,29.4906679573183,35.8953392849175,33.3350469052319
govmap:layer_sites_arab_pop_by_religion,3857,34.2193178484393,29.4904233654832,35.8953319768081,33.3340723296541
govmap:layer_sites_arrest_mahoz,3857,34.2670269229874,29.4926344051196,35.8953835619767,33.3351480519192
govmap:layer_sites_arrest_stations,3857,34.5622523556315,29.5577762230253,35.6933123765022,33.2127058498535
govmap:layer_sites_atudot,3857,34.5689307439575,29.5489010442767,35.7686566532232,33.2661286275336
govmap:layer_sites_covid_restrictions_09092020,3857,34.5574909557858,29.5358037914713,35.8090477279184,33.2388061642916
govmap:layer_sites_density_2020_prod,3857,34.2675352540247,29.4906679573183,35.8953392849175,33.3350469052319
govmap:layer_sites_distance_shore_buffer_prod,3857,34.1995140455044,31.3006543916587,35.1277073064491,33.1050640302735
govmap:layer_sites_education_group_0_4_prod,3857,34.2675352540247,29.4906679573183,35.8953392849175,33.3350469052319
govmap:layer_sites_education_group_10_12_prod,3857,34.2675352540247,29.4906679573183,35.8953392849175,33.3350469052319
govmap:layer_sites_education_group_13_15_prod,3857,34.2675352540247,29.4906679573183,35.8953392849175,33.3350469052319
govmap:layer_sites_education_group_16_prod,3857,34.2675352540247,29.4906679573183,35.8953392849175,33.3350469052319
govmap:layer_sites_education_group_5_9_prod,3857,34.2675352540247,29.4906679573183,35.8953392849175,33.3350469052319
govmap:layer_sites_employment_arab_pop_percent,3857,34.7112659414654,31.1402177734189,35.8090477279184,33.3000199326385
govmap:layer_sites_employment_education_prod,3857,34.267416192413,29.4905654664584,35.8952877021841,33.3339712008214
govmap:layer_sites_employment_haredi_pop_percent,3857,34.5379214335793,29.532242700548,35.5833973443102,33.2323892346507
